name,origin,product_id,kind,alcohol_tolerance,flocculation,alpha,use,category,color,ppg
Goldings,,,Leaf/Whole,,,4.8,Boil,Hops,,
Hallertau Hersbrucker,,,Plug,,,4,Boil,Hops,,
Hallertau Mittelfruh,,,Pellet,,,4.1,Boil,Hops,,
Hersbrucker,,,Pellet,,,3.6,Boil,Hops,,
Horizon,,,Pellet,,,12.1,Boil,Hops,,
Huller Bitterer,,,Pellet,,,5.8,Boil,Hops,,
Kent Goldings,,,Pellet,,,5.2,Boil,Hops,,
Liberty,,,Leaf/Whole,,,4.3,Boil,Hops,,
Lublin,,,Pellet,,,3.3,Dry Hop,Hops,,
Magnum,,,Pellet,,,14.4,Boil,Hops,,
Millenium,,,Pellet,,,15.4,Boil,Hops,,
Motueka,,,Pellet,,,7.1,Boil,Hops,,
Mount Hood,,,Pellet,,,5.2,Boil,Hops,,
Mount Rainier,,,Pellet,,,6.6,Boil,Hops,,
Nelson Sauvin,,,Pellet,,,12,Boil,Hops,,
Newport,,,Leaf/Whole,,,14.1,Boil,Hops,,
Northdown,,,Leaf/Whole,,,7.9,Boil,Hops,,
Northern Brewer,,,Pellet,,,8.4,Boil,Hops,,
Nugget,,,Pellet,,,13.4,Boil,Hops,,
Olympic,,,Pellet,,,12,Boil,Hops,,
Pacific Gem,,,Pellet,,,14.9,Boil,Hops,,
Palisade,,,Pellet,,,7.5,Aroma,Hops,,
Perle,,,Leaf/Whole,,,8.1,Boil,Hops,,
Phoenix,,,Pellet,,,9.7,Boil,Hops,,
Pioneer,,,Pellet,,,8.9,Boil,Hops,,
Pride of Ringwood,,,Pellet,,,10,Boil,Hops,,
Progress,,,Leaf/Whole,,,6.2,Boil,Hops,,
Saaz,,,Pellet,,,3.8,Boil,Hops,,
Santiam,,,Pellet,,,6.7,Boil,Hops,,
Simcoe,,,Pellet,,,12.8,Boil,Hops,,
Sorachi Ace,,,Pellet,,,11.8,Boil,Hops,,
Spalt,,,Pellet,,,4.4,Boil,Hops,,
Sterling,,,Leaf/Whole,,,8.1,Boil,Hops,,
Sticklebract,,,Pellet,,,12.4,Boil,Hops,,
Strisselspalt,,,Pellet,,,3.1,Aroma,Hops,,
Styrian Goldings,,,Pellet,,,5.1,Boil,Hops,,
Summit,,,Pellet,,,17.7,Boil,Hops,,
Super Alpha,,,Pellet,,,12.5,Boil,Hops,,
Super Styrians,,,Pellet,,,9,Boil,Hops,,
Talisman,,,Pellet,,,8,Boil,Hops,,
Target,,,Pellet,,,10.8,Boil,Hops,,
Tettnanger,,,Pellet,,,4.6,Boil,Hops,,
Tomahawk,,,Leaf/Whole,,,14.1,Boil,Hops,,
Ultra,,,Pellet,,,8.2,First Wort,Hops,,
Vanguard,,,Pellet,,,5.1,Boil,Hops,,
Warrior,,,Pellet,,,16,Boil,Hops,,
Whitbread Golding,,,Pellet,,,6.1,Boil,Hops,,
Willamette,,,Leaf/Whole,,,4.8,Boil,Hops,,
Wye Target,,,Leaf/Whole,,,10.4,Boil,Hops,,
Yakima Cluster,,,Leaf/Whole,,,7.9,Boil,Hops,,
Yamhill Goldings,,,Pellet,,,4,Aroma,Hops,,
Zenith,,,Leaf/Whole,,,9.6,Boil,Hops,,
Zeus,,,Leaf/Whole,,,15.8,Boil,Hops,,
Zythos,,,Pellet,,,11,Boil,Hops,,
A,,,Spice,,,,Boil,Others,,
Abacaxi,,,Other,,,,Boil,Others,,
Abobora,,,Other,,,,Mash,Others,,
Abricot,,,Flavor,,,,Boil,Others,,
Abricots,,,Other,,,,Secondary,Others,,
Abuelito,,,Flavor,,,,Boil,Others,,
AccuMash,,,Water Agt,,,,Mash,Others,,
Achillea,,,Herb,,,,Boil,Others,,
Acid,,,Water Agt,,,,Mash,Others,,
Acucar,,,Other,,,,Boil,Others,,
Adobo,,,Spice,,,,Boil,Others,,
Adzuki,,,Flavor,,,,Boil,Others,,
Agar,,,Fining,,,,Boil,Others,,
Agave,,,Flavor,,,,Boil,Others,,
Agrimony,,,Herb,,,,Boil,Others,,
Ahtanum,,,Flavor,,,,Primary,Others,,
